"Unnamed: 0","term_stem","impressions","visits","month"
"133","verfahr zur ermittl des verkehrwert bei der verausser von erbbaubelastet grundstuck an den erbbauberechtigt","2","1","2019-02"
"134","opnv","2","1","2019-02"
"135","verkehrsbelast","2","1","2019-02"
"136","finanzlag","2","1","2019-02"
"137","sprach","2","1","2019-02"
"138","handbuch","2","1","2019-02"
"139","demographi","3","2","2019-02"
"140","beamt","2","1","2019-02"
"141","modulbau","3","2","2019-02"
"142","population grid","2","1","2019-02"
"143","unternehm","2","2","2019-02"
"144","shapefil","2","2","2019-02"
"145","rathaus kopenick","2","1","2019-02"
"146","verkehrsmeng","2","1","2019-02"
"147","energieverbrauch reinickendorf","2","1","2019-02"
"148","offent liegenschaft reinickendorf","2","1","2019-02"
"149","s bahn","2","1","2019-02"
"150","hauskoordinat","2","1","2019-02"
"151","district","2","1","2019-02"
"152","stellplatzbedarf","2","1","2019-02"
"153","stolperstein","2","1","2019-02"
"154","grundschul","3","3","2019-02"
"155","fahrplandat","2","1","2019-02"
"156","feiertag","3","2","2019-02"
"157","beschluss","4","2","2019-02"
"158","bad","2","1","2019-02"
"159","wahlkreis wahlergebnis","2","1","2019-02"
"160","tourismus","2","1","2019-02"
"161","kriminalitatsatlas","2","1","2019-02"
"162","lod2","2","2","2019-02"
"163","sozialstrkturatlas 2017","2","1","2019-02"
"164","kriminalitat","2","1","2019-02"
"165","rbs block 2017","2","1","2019-02"
"170","list der haufig vornam","5","5","2019-02"
"183","parkplatz","2","2","2019-02"
"190","wahllokal neukolln","2","2","2019-02"
"194","dgm","2","2","2019-02"
"196","angebotsmiet","2","2","2019-02"
"207","warm","2","2","2019-02"
"226","unbewohnt","2","2","2019-02"
"227","buchhandl","2","2","2019-02"
"228","einschulbereich","2","2","2019-02"
"237","energieverbrauchsubersicht bezirk gebaud","2","2","2019-02"
"244","europabeauftragt","2","2","2019-02"
"250","einwohnerzahl","2","2","2019-02"
"262","grundschulregion","2","2","2019-02"
"267","unbebaut","2","2","2019-02"
"269","wahlergebnis bundestagswahl 2017 berlin reinickendorf","2","2","2019-02"
"305","alt der bevolker in reinickendorf","2","2","2019-02"
"309","bevolker 2018","2","2","2019-02"
"314","landesentwicklungsplan","2","2","2019-02"
"321","standardlastprofil","2","2","2019-02"
"328","bauantrag","2","2","2019-02"
"332","verkehrsstark","2","2","2019-02"
"378","fisch","2","2","2019-02"
"391","fluchtling","2","2","2019-02"
"405","luftgutemessnetz","2","2","2019-02"
"413","sozialstatist","2","2","2019-02"
"471","einwohnerzahl 2018","2","2","2019-02"
"1","lor","36","9","2019-03"
"2","rbs","37","17","2019-03"
"3","einwohn","24","13","2019-03"
"4","bevolker","19","4","2019-03"
"5","bezirk","26","18","2019-03"
"6","vornam","22","15","2019-03"
"7","geometri","12","5","2019-03"
"8","einkomm","13","9","2019-03"
"9","energi","21","7","2019-03"
"10","wohndau","10","3","2019-03"
"11","einwohnerinn und einwohn in berlin in lor planungsraum","9","1","2019-03"
"12","vbb","11","8","2019-03"
"13","strass","13","6","2019-03"
"14","flurkart","16","8","2019-03"
"15","wahl","9","4","2019-03"
"16","bvg","10","9","2019-03"
"17","energieverbrauch","14","9","2019-03"
"18","2017","8","2","2019-03"
"19","flachennutzungsplan","8","3","2019-03"
"20","einwohnerinn und einwohn in den ortsteil berlin","8","1","2019-03"
"21","lor planungsraum","8","2","2019-03"
"22","wasserbetrieb","7","1","2019-03"
"23","block","11","4","2019-03"
"24","wfs","7","2","2019-03"
"25","adress","9","3","2019-03"
"26","shp","6","2","2019-03"
"27","schul","14","11","2019-03"
"28","zaa","6","1","2019-03"
"29","ortsteil","6","3","2019-03"
"30","gemeinschaft mit korperschaftsstatus","6","1","2019-03"
"31","fahrrad","7","5","2019-03"
"32","rbs block","11","7","2019-03"
"33","luftbild","9","5","2019-03"
"34","lor ausland","5","1","2019-03"
"35","webatlas","6","4","2019-03"
"36","wms","6","5","2019-03"
"37","haushalt","7","3","2019-03"
"39","alkis","8","5","2019-03"
"40","kindertag","4","4","2019-03"
"41","pfleg","4","2","2019-03"
"42","stadtteil","5","5","2019-03"
"43","spandau","4","2","2019-03"
"44","u bahn","7","5","2019-03"
"45","gebaud","5","2","2019-03"
"46","migrationshintergrund","7","6","2019-03"
"47","bodenrichtwert","9","6","2019-03"
"48","muse","4","2","2019-03"
"49","einwohnerinn und einwohn in berlin in lor planungsraum","4","1","2019-03"
"50","berlin bezirksgrenz","4","1","2019-03"
"51","s bahn","4","3","2019-03"
"52","einwohn ortsteil","4","1","2019-03"
"53","berlinpass","5","3","2019-03"
"54","denkmal","5","3","2019-03"
"55","lageplan","4","1","2019-03"
"56","kita","5","4","2019-03"
"57","abgeordnetenhaus","3","1","2019-03"
"58","park","5","4","2019-03"
"59","shapefil","4","4","2019-03"
"60","baum","5","5","2019-03"
"61","bevolker berlin","3","1","2019-03"
"62","einwohn berlin","3","1","2019-03"
"63","verwaltungsreform","3","1","2019-03"
"64","feuerwach","3","1","2019-03"
"65","offent","3","1","2019-03"
"66","gewass","3","2","2019-03"
"67","wfs ortsteil","3","1","2019-03"
"68","transport","4","3","2019-03"
"69","verkehr","4","4","2019-03"
"70","berlin mau","3","1","2019-03"
"71","geodat ortsteil","3","1","2019-03"
"72","stadtviertel","4","2","2019-03"
"73","tempelhof schoneberg","3","1","2019-03"
"74","geschlecht alt","3","1","2019-03"
"75","suizid","3","2","2019-03"
"76","finanz","4","2","2019-03"
"77","fnp","3","3","2019-03"
"78","pflegeheim","3","2","2019-03"
"79","kmu","3","1","2019-03"
"80","topographi","4","2","2019-03"
"81","lor einwohn","3","2","2019-03"
"82","am bauerse strreinigungsklass","3","1","2019-03"
"83","abfall","3","1","2019-03"
"84","haushaltswirtschaft","3","1","2019-03"
"85","immobili","4","2","2019-03"
"86","einwohnerzahl","4","3","2019-03"
"87","feuerwehr","4","3","2019-03"
"88","religion","3","2","2019-03"
"89","fisbrok","7","6","2019-03"
"90","bebauungsplan","5","3","2019-03"
"91","plz","5","2","2019-03"
"92","sepa lastschriftverfahr","3","2","2019-03"
"93","einwohnerinn und einwohn in berlin in lor planungsraum","8","4","2019-03"
"94","gtfs","4","4","2019-03"
"95","koordinat","3","2","2019-03"
"96","bevolkerungsprognos","3","2","2019-03"
"97","dgm","3","3","2019-03"
"98","stadtplan","4","2","2019-03"
"99","wett","4","3","2019-03"
"100","berg","4","2","2019-03"
"101","gebaud effizienz","4","2","2019-03"
"102","gart","3","2","2019-03"
"103","fnp 2019","2","2","2019-03"
"104","schillerkiez","2","2","2019-03"
"105","geologi","2","2","2019-03"
"106","grundschul","2","2","2019-03"
"107","psych","2","2","2019-03"
"108","mindestlohn","2","1","2019-03"
"109","volksbegehr videouberwach","2","2","2019-03"
"110","bleibtreu","2","2","2019-03"
"111","lichtenberg","2","2","2019-03"
"112","wms ortho","2","2","2019-03"
"113","atkis","2","1","2019-03"
"114","kreuzberg","2","2","2019-03"
"115","betreibervertrag","2","2","2019-03"
"116","inspir","2","1","2019-03"
"117","vhs","2","2","2019-03"
"118","jahr","2","1","2019-03"
"119","einkommensstruktur","2","2","2019-03"
"120","wasserstand","2","1","2019-03"
"121","gis","2","2","2019-03"
"122","xenia espresso gmbh","2","1","2019-03"
"123","kindertagesstatt","3","2","2019-03"
"124","neukolln","3","2","2019-03"
"125","baum wfs","3","2","2019-03"
"126","kml","2","1","2019-03"
"127","opnv","2","2","2019-03"
"128","mitt","4","2","2019-03"
"129","wmf kleingart","2","1","2019-03"
"130","standort","2","1","2019-03"
"131","begegn or fussverkehr","2","1","2019-03"
"132","1989","2","1","2019-03"
"133","facharzt","3","2","2019-03"
"134","mokib","3","2","2019-03"
"135","bibliothek","2","2","2019-03"
"137","kunst und kultur","2","1","2019-03"
"138","bezirksgrenz","4","3","2019-03"
"139","wohnlag","2","1","2019-03"
"140","reparatur","2","1","2019-03"
"141","subway","6","3","2019-03"
"142","einwohnerinn und einwohn in berlin in lor planungsraum","2","1","2019-03"
"143","wahlergebnis","2","1","2019-03"
"144","positionspapi","2","1","2019-03"
"145","stadtteilgrenz open data","2","1","2019-03"
"146","positionspapi begegn or fussverkehr","2","1","2019-03"
"147","migrationshintergrund lor planungsraum","2","1","2019-03"
"148","miet","3","2","2019-03"
"149","einwohn 2017","2","2","2019-03"
"150","wasserkart","2","1","2019-03"
"151","steinstuck","2","1","2019-03"
"152","schonhorst strass","2","2","2019-03"
"153","population","2","2","2019-03"
"154","milieuschutzgebiet","3","2","2019-03"
"155","einwohn 31 12 2016","2","1","2019-03"
"157","wahlerverzeichnis","2","1","2019-03"
"158","frau","2","2","2019-03"
"159","brunn","4","2","2019-03"
"160","histor kart","3","2","2019-03"
"162","open data berlin","2","1","2019-03"
"164","verbeamt lehr","2","2","2019-03"
"165","statonar aufenthaltskost","2","1","2019-03"
"167","geodat","4","3","2019-03"
"168","asylblg","2","1","2019-03"
"169","metadat","2","1","2019-03"
"170","stadtteilgrenz berlin","2","1","2019-03"
"171","berlin strassenverzeichnis","2","1","2019-03"
"172","bundestagswahl","4","4","2019-03"
"173","reinigungsklass schonhorst strass","2","1","2019-03"
"174","co2","2","2","2019-03"
"175","sepa lastschriftverfahr","2","1","2019-03"
"176","personal","2","1","2019-03"
"177","wass","3","2","2019-03"
"178","detailvereinbar detv","2","1","2019-03"
"179","kirch","2","2","2019-03"
"180","religionsgemeinschaft","3","2","2019-03"
"181","begegnungszon","4","2","2019-03"
"182","ausland","3","2","2019-03"
"183","gemeinnutz arbeit","2","1","2019-03"
"184","2 bettzimmerkost","2","1","2019-03"
"185","datenschutz","3","2","2019-03"
"186","demographi","2","1","2019-03"
"187","landesgrenz","2","1","2019-03"
"188","migrationshintergrund","2","2","2019-03"
"189","st","2","1","2019-03"
"190","sozialstrukturatlas","3","2","2019-03"
"191","90138416","2","1","2019-03"
"192","je bezirk","2","1","2019-03"
"193","lsa","2","2","2019-03"
"194","zensus","4","3","2019-03"
"195","planungsraum","3","3","2019-03"
"196","wahlkreis","4","4","2019-03"
"197","adress kindertagespflegestell","2","2","2019-03"
"198","umzug","2","1","2019-03"
"199","energieeffizienz","2","1","2019-03"
"200","kameral","4","3","2019-03"
"201","anmeld grundschul","3","2","2019-03"
"202","rbs ortsteil","2","2","2019-03"
"203","gelandehoh","3","2","2019-03"
"204","am hegewinkel","2","1","2019-03"
"205","polizeiaufgabengesetz","2","1","2019-03"
"206","zeit","2","1","2019-03"
"207","sachgrundlos befrist","2","1","2019-03"
"208","bus","3","2","2019-03"
"209","mull","2","2","2019-03"
"210","frauentag","2","1","2019-03"
"211","380kv","2","1","2019-03"
"212","u bahn netz u or bahn or v or bb","2","1","2019-03"
"213","einwohn 2017","3","3","2019-03"
"214","geo","4","4","2019-03"
"215","blum blum","2","1","2019-03"
"216","einwohn weissense","2","1","2019-03"
"217","blum","2","1","2019-03"
"218","beschluss des berlin senat 1994","2","1","2019-03"
"219","stadtteilgrenz","2","1","2019-03"
"220","nox","2","1","2019-03"
"221","altglas","2","2","2019-03"
"222","wms dat","2","1","2019-03"
"223","beschluss des berlin senat vom 22 februar 1994","2","1","2019-03"
"224","grundwass","2","1","2019-03"
"225","einwohn 2017","4","4","2019-03"
"226","mobilitat","2","1","2019-03"
"227","biblio","2","1","2019-03"
"228","strass klkassec","2","1","2019-03"
"229","geojson","2","2","2019-03"
"230","migrationshintergrund","2","2","2019-03"
"231","topo","2","2","2019-03"
"232","eiskell","2","1","2019-03"
"233","potenzialflach","2","1","2019-03"
"234","senwirt","2","1","2019-03"
"235","feuerwehrschul","2","1","2019-03"
"236","gemark lankwitz","2","1","2019-03"
"237","gelandemodell","2","1","2019-03"
"238","hotel","4","2","2019-03"
"239","belrin","2","1","2019-03"
"240","ortsteil berlin","2","1","2019-03"
"241","bauantrag","2","1","2019-03"
"242","bauabfall","2","1","2019-03"
"243","zib","2","1","2019-03"
"244","alkis wfs","2","1","2019-03"
"245","blum e","2","1","2019-03"
"246","beamt","2","1","2019-03"
"248","klr","2","1","2019-03"
"249","energieverbrauchsubersicht","2","1","2019-03"
"250","volkshochschul","3","2","2019-03"
"251","gastronomi","2","1","2019-03"
"253","volksf","2","1","2019-03"
"254","weissense","2","1","2019-03"
"256","tempolimit","3","2","2019-03"
"260","tankstell","3","3","2019-03"
"288","tourismus","2","2","2019-03"
"311","nahverkehrsplan","2","2","2019-03"
"317","gemeind","2","2","2019-03"
"319","gewalt geg frau","3","3","2019-03"
"341","kunstlich intelligenz","2","2","2019-03"
"343","api","2","2","2019-03"
"344","bundesstrass durch berlin","2","2","2019-03"
"345","dieselfahrverbot","2","2","2019-03"
"356","coworking","3","3","2019-03"
"360","obdachlos","4","4","2019-03"
"362","fairtrad","2","2","2019-03"
"368","toilett","2","2","2019-03"
"375","berufskrank","3","3","2019-03"
"391","haltestell","3","3","2019-03"
"393","strassenverzeichnis","2","2","2019-03"
"408","lehr","2","2","2019-03"
"409","friedrichshain","4","4","2019-03"
"412","histori","2","2","2019-03"
"414","lidar","2","2","2019-03"
"420","ewald paul","2","2","2019-03"
"426","mietenbegrenzungsverordn","2","2","2019-03"
"435","katasteramt","2","2","2019-03"
"439","flurstuck","2","2","2019-03"
"440","flurstuckssuch","2","2","2019-03"
"454","kopenick","2","2","2019-03"
"466","alkis","2","2","2019-03"
"479","dieselverbot","2","2","2019-03"
"480","gewerbesteu","2","2","2019-03"
"486","vogel schutz","2","2","2019-03"
"496","grz","2","2","2019-03"
"517","postleitzahl","2","2","2019-03"
"532","gebaudealt","2","2","2019-03"
"544","bezirk shp","2","2","2019-03"
"570","radverkehr","2","2","2019-03"
"574","parkplatz","2","2","2019-03"
"617","jahresabschluss","2","2","2019-03"
"639","metro","2","2","2019-03"
"642","3d","2","2","2019-03"
"652","digital oberflachenmodell","2","2","2019-03"
"664","sergii","2","2","2019-03"
"677","autobahn","2","2","2019-03"
"693","frequenz","2","2","2019-03"
"736","arbeitslosenquot","2","2","2019-03"
"744","arbeitslosenquot","2","2","2019-03"
"749","baujahr","2","2","2019-03"
"767","stadtisch wohnung","2","2","2019-03"
"1","ortsteil","29","12","2019-04"
"2","vornam","21","11","2019-04"
"3","strass","14","7","2019-04"
"4","geometri","13","4","2019-04"
"5","bod","11","1","2019-04"
"6","vbb","11","6","2019-04"
"7","api","11","4","2019-04"
"8","bezirk","13","7","2019-04"
"9","shap","10","3","2019-04"
"10","planungsraum","17","6","2019-04"
"11","einwohn","14","5","2019-04"
"12","lichtenberg","9","3","2019-04"
"13","alkis","14","8","2019-04"
"14","arbeitslos","12","4","2019-04"
"15","lor","13","10","2019-04"
"16","einwohn berlin in lor planungsraum","9","1","2019-04"
"17","flurkart","14","9","2019-04"
"18","rbs","12","8","2019-04"
"19","europawahl","11","6","2019-04"
"20","sport","10","2","2019-04"
"21","poll","9","5","2019-04"
"22","einwohnerinn und einwohn mit migrationshintergrund in berlin in lor planungsraum","8","1","2019-04"
"23","wohnlag","10","4","2019-04"
"24","lor kart","8","3","2019-04"
"25","verwaltungsvorschrift","8","7","2019-04"
"26","topograf","7","2","2019-04"
"27","energi","8","5","2019-04"
"28","flachennutz","11","3","2019-04"
"29","energieverbrauch","7","5","2019-04"
"30","hotel","6","4","2019-04"
"31","hauskoordinat","10","4","2019-04"
"32","unterkunft","7","2","2019-04"
"33","bvg","6","6","2019-04"
"34","wms","5","3","2019-04"
"35","strassenverzeichnis","7","5","2019-04"
"36","gebaud","6","3","2019-04"
"37","polizei","6","5","2019-04"
"38","shp","5","2","2019-04"
"39","flach","5","2","2019-04"
"40","feinstaub","5","2","2019-04"
"41","alkis gebaud","5","2","2019-04"
"42","radfahr","8","4","2019-04"
"43","flughaf","5","2","2019-04"
"44","senatsbeschluss","13","11","2019-04"
"45","inspir","5","2","2019-04"
"46","fahrrad","8","7","2019-04"
"47","kita","4","2","2019-04"
"48","shapefil","4","4","2019-04"
"49","s bahn","5","3","2019-04"
"50","verkehr","4","2","2019-04"
"51","detailnetz","4","2","2019-04"
"52","umweltatlas","7","3","2019-04"
"53","grenz","7","3","2019-04"
"54","berlin wasserbetrieb","4","1","2019-04"
"55","luftbild","6","3","2019-04"
"56","bezirksregion","4","1","2019-04"
"57","dgm","6","4","2019-04"
"58","gtfs","6","4","2019-04"
"59","1910","4","1","2019-04"
"60","odis","3","3","2019-04"
"61","schulerticket bvg","3","1","2019-04"
"62","wfs","3","1","2019-04"
"63","grundschul reinickendorf","5","2","2019-04"
"64","zaa","3","2","2019-04"
"65","block","4","4","2019-04"
"66","grunflach","5","3","2019-04"
"67","kriminal","3","2","2019-04"
"68","einwohnerzahl","3","2","2019-04"
"69","einwohn 2017","3","3","2019-04"
"70","charité","6","5","2019-04"
"71","gewerb","3","2","2019-04"
"72","list der haufig vornam","18","14","2019-04"
"74","geodat","4","4","2019-04"
"75","schulsprengel","3","3","2019-04"
"76","wohndau","3","1","2019-04"
"77","vivant","4","3","2019-04"
"78","miet","8","7","2019-04"
"79","atlas fur grz","3","1","2019-04"
"80","haus","4","2","2019-04"
"81","haufig vornam 2018","5","2","2019-04"
"82","strassenverkehr","3","1","2019-04"
"84","einkomm","6","5","2019-04"
"85","kriminalitat","4","3","2019-04"
"86","tourismus","3","3","2019-04"
"87","geobasisdat","3","1","2019-04"
"88","lor planungsraum einwohn","3","1","2019-04"
"89","accommodation","5","2","2019-04"
"90","strassennetz","3","2","2019-04"
"91","baumstandort","3","1","2019-04"
"92","bsr","5","3","2019-04"
"93","schul","5","4","2019-04"
"94","schulerticket","4","2","2019-04"
"95","flurstuck","7","4","2019-04"
"96","gebaudealt","3","3","2019-04"
"97","gas","3","1","2019-04"
"98","rad","4","2","2019-04"
"99","bien","3","1","2019-04"
"100","einschulbereich","6","4","2019-04"
"101","larm","3","3","2019-04"
"102","einwohn ortsteil","3","1","2019-04"
"103","rollstuhl","3","1","2019-04"
"104","mobilitat","7","4","2019-04"
"105","gis","3","3","2019-04"
"106","list der haufig vornam 2018 friedrichshain kreuzberg","3","1","2019-04"
"107","lageso","4","3","2019-04"
"108","lor planungsraum","9","5","2019-04"
"109","senatsverwalt fur wirtschaft energi und betrieb umsatzsteu umsatzsteu","5","3","2019-04"
"110","boundary","3","1","2019-04"
"111","lod1","3","1","2019-04"
"112","obdachlos","2","2","2019-04"
"113","luft","4","3","2019-04"
"114","rbs lor","2","1","2019-04"
"115","rbs block","7","4","2019-04"
"116","solar","2","1","2019-04"
"117","arzt","2","1","2019-04"
"118","immobili","5","4","2019-04"
"119","sozialstrukturatlas","2","2","2019-04"
"120","haushalt","3","2","2019-04"
"121","restaurant","3","2","2019-04"
"122","bezirk mitt","2","1","2019-04"
"123","direction id","3","2","2019-04"
"124","no2","2","1","2019-04"
"126","alt","2","2","2019-04"
"127","bau","2","2","2019-04"
"128","osm","2","2","2019-04"
"129","wie viel kind wurd 2018 in friedrichshein kreuzberg muhammed genannt","4","2","2019-04"
"130","json","2","1","2019-04"
"131","plz","2","1","2019-04"
"132","digital orthophotos","2","1","2019-04"
"133","potsdam str berlin","4","2","2019-04"
"134","radverkehr","3","3","2019-04"
"135","schadling","2","1","2019-04"
"136","buschow weg","2","1","2019-04"
"137","beteil","2","1","2019-04"
"138","trink","2","1","2019-04"
"139","gesundheitsforder","2","1","2019-04"
"140","heimathaf","2","1","2019-04"
"142","wander","2","1","2019-04"
"143","mietpreis","2","2","2019-04"
"144","neukolln","2","1","2019-04"
"145","baum","2","2","2019-04"
"146","europawahl 2019","3","3","2019-04"
"147","wahlberechtigt","3","2","2019-04"
"148","24 01 2012","2","2","2019-04"
"149","ergebnis","2","1","2019-04"
"150","automatic publication risk","2","1","2019-04"
"151","berlin mietspiegel","2","1","2019-04"
"152","digital orthophotos","2","1","2019-04"
"153","kart 5000","2","1","2019-04"
"154","park","5","5","2019-04"
"155","bad","3","3","2019-04"
"156","flatowalle","2","1","2019-04"
"157","milieuschutzgebiet","2","1","2019-04"
"158","flurstuck marzahn","2","1","2019-04"
"159","berlin strass","3","2","2019-04"
"160","transparenz","2","1","2019-04"
"161","weath","2","1","2019-04"
"162","wohnung","2","1","2019-04"
"163","schichtenverzeichnis","2","2","2019-04"
"164","atkis","2","1","2019-04"
"165","lageplan or","2","1","2019-04"
"166","mietspiegel","3","2","2019-04"
"167","unfall","2","2","2019-04"
"168","schuless","3","2","2019-04"
"169","einwohnerzahl berlin","2","1","2019-04"
"172","ausland","2","2","2019-04"
"173","bodenrichtwertatlas","2","1","2019-04"
"174","gesund","2","2","2019-04"
"175","smart hom","2","2","2019-04"
"176","ernahr","2","1","2019-04"
"177","wahllokal im bezirk steglitz zehlendorf","2","1","2019-04"
"178","wms servic","2","1","2019-04"
"179","senatsbeschluss or besold","3","2","2019-04"
"180","flurstuck marzahn","2","1","2019-04"
"181","ausgab lehr","2","1","2019-04"
"182","wahl","4","3","2019-04"
"183","passegi","2","1","2019-04"
"184","leucht","2","1","2019-04"
"185","gewerbemiet","3","2","2019-04"
"186","bahn","2","1","2019-04"
"187","funkzell","2","1","2019-04"
"188","zugriffsstatist","2","2","2019-04"
"189","grundschul reinickendorf","2","1","2019-04"
"190","barri","2","1","2019-04"
"191","feinstaubbelast","2","2","2019-04"
"192","bau sanier","2","1","2019-04"
"193","europawahl 2019 briefwahl","2","1","2019-04"
"194","oberbaumbruck","2","1","2019-04"
"195","berlin strass und volksf 2019","2","1","2019-04"
"196","sozialleist","2","1","2019-04"
"198","kriminal","2","2","2019-04"
"199","13159 blankenfeld","2","1","2019-04"
"200","tempohom","3","2","2019-04"
"201","tempelhof","2","1","2019-04"
"202","storm","2","1","2019-04"
"203","wohnein","2","2","2019-04"
"204","einwohnerinn und einwohn","2","2","2019-04"
"205","lidar","2","1","2019-04"
"206","wahllokal steglitz zehlendorf","2","1","2019-04"
"207","crim","2","1","2019-04"
"208","toilett","2","2","2019-04"
"209","radweg","2","2","2019-04"
"210","bodenkart altlast","2","1","2019-04"
"211","bauwerk","2","1","2019-04"
"212","ausland einwohnerinn","2","1","2019-04"
"213","anand restaurant","2","1","2019-04"
"214","haltestell","3","3","2019-04"
"215","bibliothek","2","1","2019-04"
"216","abwass","4","3","2019-04"
"217","wahllokal","4","3","2019-04"
"218","stadtgrenz","2","1","2019-04"
"219","kita","3","2","2019-04"
"220","strassenrein","2","2","2019-04"
"221","badestell","2","2","2019-04"
"222","dlm","2","1","2019-04"
"223","kindertagesstatt","2","1","2019-04"
"224","alt mensch","2","1","2019-04"
"226","flachennutzungsplan","2","1","2019-04"
"227","besoldungserhoh 2019","2","1","2019-04"
"228","haltestell s bahn","2","1","2019-04"
