"Unnamed: 0","term_stem","impressions","visits","month"
"74","einwohnerinn und einwohn in berlin in lor planungsraum am 31 12 2018","3","2","2020-02"
"75","opnv","5","2","2020-02"
"76","atkis","3","1","2020-02"
"77","gemark","3","2","2020-02"
"78","steglitz zehlendorf","6","5","2020-02"
"79","brunn","3","2","2020-02"
"80","zeit","3","1","2020-02"
"81","alkis","7","6","2020-02"
"82","senatsbeschluss","4","3","2020-02"
"83","kriminalitat","5","3","2020-02"
"84","1945","3","1","2020-02"
"85","offent altpapiercontain","3","1","2020-02"
"86","grundwassergleich","3","2","2020-02"
"87","marzahn hellersdorf","3","2","2020-02"
"88","pflegeheim","4","2","2020-02"
"89","building","3","1","2020-02"
"90","wass","5","3","2020-02"
"91","koordinat","3","1","2020-02"
"92","ausland","3","1","2020-02"
"93","einwohnerinn und einwohn in berlin in lor planungsraum","3","1","2020-02"
"94","spandau","3","2","2020-02"
"95","plz","5","2","2020-02"
"96","verarbeitungsbetrieb eier","3","1","2020-02"
"97","kitas","3","1","2020-02"
"98","akteneinsicht","3","1","2020-02"
"99","fragebog zur steu erfass","3","1","2020-02"
"100","haf","5","2","2020-02"
"101","haushaltsplan 2019 2020","3","1","2020-02"
"102","religion","3","2","2020-02"
"103","verarbeitungsbetrieb eiprodukt","3","1","2020-02"
"104","ladestation","4","3","2020-02"
"105","haushaltsplan 2020 2021","3","1","2020-02"
"106","strassenverzeichnis","4","3","2020-02"
"107","einwohnerinn und einwohn mit migrationshintergrund in berlin in lor planungsraum nach herkunftsgebiet am","3","1","2020-02"
"108","standort fur stationsbasiert carsharing","3","1","2020-02"
"109","adlershof","3","3","2020-02"
"110","construction","3","1","2020-02"
"111","orthographi","3","1","2020-02"
"112","strassenf","2","2","2020-02"
"113","autounfall","2","2","2020-02"
"114","vornam 2002 vornam","2","1","2020-02"
"115","crim","2","1","2020-02"
"116","max hochdorf","2","1","2020-02"
"117","schul","4","3","2020-02"
"118","2003","2","1","2020-02"
"119","histor kart berlin","2","1","2020-02"
"120","immobilienmangement","2","1","2020-02"
"121","berlin mau","3","2","2020-02"
"122","beelitz routenplan busruot or beelitz","2","1","2020-02"
"123","berlin alt","2","1","2020-02"
"124","planwerk sudostraum","2","1","2020-02"
"125","bvg","3","3","2020-02"
"126","guri bau","2","1","2020-02"
"127","entwickl","2","1","2020-02"
"128","vegetation","2","1","2020-02"
"129","energieverbrauchsubersicht","2","2","2020-02"
"130","hochwass","2","1","2020-02"
"131","bebauungssplan","5","3","2020-02"
"132","famili","2","1","2020-02"
"133","berlkon","3","2","2020-02"
"134","wertstoffhof","2","1","2020-02"
"135","roll","3","2","2020-02"
"136","entwickl der einwohnerzahl","2","1","2020-02"
"137","rauchmeld","2","1","2020-02"
"138","briefwahlbezirk","3","2","2020-02"
"139","transferbezug","2","1","2020-02"
"140","topograph","2","1","2020-02"
"141","behindertenparkplatz","2","2","2020-02"
"142","feinstaub","2","1","2020-02"
"143","strassennam","2","1","2020-02"
"144","mull","3","3","2020-02"
"145","csv","2","2","2020-02"
"146","tram","2","1","2020-02"
"147","fragebog zur betriebsgrund","2","1","2020-02"
"148","hellersdorf","2","1","2020-02"
"149","senatsbeschluss 2377","2","1","2020-02"
"150","environment","2","1","2020-02"
"151","natur","2","2","2020-02"
"152","trinkwass","2","1","2020-02"
"153","bericht uber die gesundheit situation von frau in berlin","2","1","2020-02"
"154","anlegestell","2","1","2020-02"
"155","ogd","2","1","2020-02"
"156","offent altpapiercontain reinickendorf berlin","2","1","2020-02"
"157","bibliothek","3","2","2020-02"
"158","australia","2","1","2020-02"
"159","kind","3","3","2020-02"
"160","carsharing","2","1","2020-02"
"161","api","2","2","2020-02"
"162","strassenschlussel","2","1","2020-02"
"163","einwohnerzahl","4","3","2020-02"
"164","pfleg","2","1","2020-02"
"165","beelitz routenplan","2","1","2020-02"
"166","geodata","2","2","2020-02"
"167","vbb haltestell","2","1","2020-02"
"168","swing cuckold wif","2","1","2020-02"
"169","topograf","2","2","2020-02"
"170","lbg","2","1","2020-02"
"171","jugend","2","1","2020-02"
"172","bericht uber die gesundheit situation von frau die gesund jed frau und jed mann ist abhang von sozial okonom beruf und materiell beding lebenssituation","2","1","2020-02"
"173","gfz berlin","2","1","2020-02"
"174","atlas","2","1","2020-02"
"175","luftreinhalteplan","2","1","2020-02"
"176","bip brandenburg stadt","2","1","2020-02"
"177","ordnungsamt","2","2","2020-02"
"178","mau","2","2","2020-02"
"179","bevolker","2","2","2020-02"
"180","bahn","2","2","2020-02"
"181","lor such","2","1","2020-02"
"182","milieuschutzgebiet","2","1","2020-02"
"183","weiterbild","2","1","2020-02"
"184","ordnungswidr","2","1","2020-02"
"185","bevolkerungsdicht","2","2","2020-02"
"186","kreis","2","1","2020-02"
"187","geburtenzahl","2","1","2020-02"
"188","teilhab","2","1","2020-02"
"189","dtk 10 brandenburg","2","1","2020-02"
"190","theat","2","2","2020-02"
"191","tempelhof schoneberg","2","1","2020-02"
"192","10 12 2019","2","1","2020-02"
"193","migrationshintergrund","2","1","2020-02"
"194","eiproduktion","2","1","2020-02"
"195","standort von altpapiercontain in reinickendorf berlin","2","1","2020-02"
"196","1993 eigenverantwort der bezirk","2","1","2020-02"
"197","eierverarbeit betrieb brandenburg","2","1","2020-02"
"198","topograph","2","2","2020-02"
"199","1993","2","1","2020-02"
"200","ausland einwohn","2","1","2020-02"
"201","anteil radfahr","2","1","2020-02"
"202","mobilitat","4","3","2020-02"
"203","eisdiel","2","1","2020-02"
"204","blockkart","2","1","2020-02"
"205","bier","2","1","2020-02"
"206","reg","2","2","2020-02"
"207","rbs bezirk dezemb","2","1","2020-02"
"208","bildung","2","1","2020-02"
"209","2019 wilhelmstadt spandau","2","1","2020-02"
"210","zur roht laak","2","2","2020-02"
"211","strassenbaum","2","2","2020-02"
"212","ressourc","2","2","2020-02"
"213","vak","2","1","2020-02"
"214","magistratsprotokoll","2","1","2020-02"
"215","strassenbrunn","3","2","2020-02"
"216","gedenktafel","2","1","2020-02"
"217","radfahr anteil","2","1","2020-02"
"218","haushaltsrecht","2","1","2020-02"
"219","springbrunn","2","1","2020-02"
"220","gfz berlin rudow","2","1","2020-02"
"221","spielplatz","2","1","2020-02"
"222","babynam","4","3","2020-02"
"223","warmeinseleffekt","2","2","2020-02"
"224","landesbeamtengesetz 76 absatz 5","2","1","2020-02"
"225","2015","1","1","2020-02"
"226","breitscheidplatz","3","2","2020-02"
"227","altpapiercontain","2","1","2020-02"
"228","kindertagesstatt","2","1","2020-02"
"229","pankow","2","1","2020-02"
"230","bar","3","2","2020-02"
"231","mietspiegel","2","1","2020-02"
"232","kindergart","2","1","2020-02"
"233","papiercontain","2","1","2020-02"
"234","luftaufnahm","4","2","2020-02"
"235","bezirk berlin","2","1","2020-02"
"236","berlin landkart 1900","2","1","2020-02"
"237","see","2","1","2020-02"
"238","frau","3","2","2020-02"
"239","einwohnerentwickl","2","1","2020-02"
"240","einkommensverteil","2","1","2020-02"
"241","stolperstein","5","4","2020-02"
"242","wohnungsmarkt","2","1","2020-02"
"243","sanierungsgebiet","2","1","2020-02"
"244","anteil","2","1","2020-02"
"245","berlin landkart 1905","2","1","2020-02"
"246","startup","2","1","2020-02"
"247","arbeit","2","1","2020-02"
"248","e mobility","2","1","2020-02"
"249","viavan","2","1","2020-02"
"250","unfall","2","1","2020-02"
"251","magistrat berlin protokoll 1945","2","1","2020-02"
"252","aufsichtsrat","2","1","2020-02"
"253","ckan","2","2","2020-02"
"254","adlershof","2","2","2020-02"
"255","bank","2","1","2020-02"
"256","strassenrein beschwerd","2","1","2020-02"
"257","protokoll magistrat","2","1","2020-02"
"258","gesundheitsamt","4","2","2020-02"
"259","blockflach","2","1","2020-02"
"260","rbs block dezemb","2","1","2020-02"
"261","10119","2","1","2020-02"
"262","stadtbahnbog","3","2","2020-02"
"263","statist bericht","3","2","2020-02"
"264","zufried","2","1","2020-02"
"265","kart","2","1","2020-02"
"266","geltungsbereich","2","1","2020-02"
"267","gemark berlin","2","1","2020-02"
"268","2019 wilhelmstadt","2","1","2020-02"
"269","stadtkart","2","1","2020-02"
"270","marathon","2","2","2020-02"
"271","abfallwirtschaft","2","1","2020-02"
"272","radfahr radfahr anteil","2","1","2020-02"
"273","e bik","3","2","2020-02"
"274","ladestation elektroautos berlin","2","1","2020-02"
"275","hotel","3","2","2020-02"
"276","mariendorf","2","1","2020-02"
"277","flurstuck","3","2","2020-02"
"278","fahrradnutz","2","1","2020-02"
"279","arbeitszufried","2","1","2020-02"
"280","anteil radfahr","2","1","2020-02"
"281","einwohn","2","1","2020-02"
"282","caf","2","1","2020-02"
"283","anteil fahrrad","2","1","2020-02"
"284","kirchensteuermerkmal","2","1","2020-02"
"285","kirchensteu","2","1","2020-02"
"286","ba beschluss","2","1","2020-02"
"287","e scott","2","1","2020-02"
"288","kiosk","2","2","2020-02"
"289","ausstell","1","1","2020-02"
"290","marktheidenfeld","1","1","2020-02"
"291","der total widerstand","1","1","2020-02"
"292","stadtteil","3","3","2020-02"
"293","pell","1","1","2020-02"
"294","wohnung","1","1","2020-02"
"295","baunvo","1","1","2020-02"
"296","schoneweid","1","1","2020-02"
"297","schuld","1","1","2020-02"
"298","pro kopf einkomm","1","1","2020-02"
"299","smart city","1","1","2020-02"
"300","mary","1","1","2020-02"
"301","pendl","1","1","2020-02"
"302","accelerator in berlin","1","1","2020-02"
"303","erik","1","1","2020-02"
"304","wand","1","1","2020-02"
"305","wehl gerhard furchtegott","1","1","2020-02"
"306","31 12 2019","1","1","2020-02"
"307","job","1","1","2020-02"
"308","produkt","1","1","2020-02"
"309","bezirksgrenz prenzlau berg","1","1","2020-02"
"310","casino","1","1","2020-02"
"311","hell","1","1","2020-02"
"312","tief der abstandsflach","1","1","2020-02"
"313","lichtsignalanlag","1","1","2020-02"
"314","landesverwaltungsamt","1","1","2020-02"
"315","feuerwerk","1","1","2020-02"
"316","fiona","1","1","2020-02"
"317","fahrrad","1","1","2020-02"
"318","hip hop","1","1","2020-02"
"319","brw","1","1","2020-02"
"320","gas","1","1","2020-02"
"321","brasilian","2","2","2020-02"
"322","regionplan zeitraum strass was soll entstehenw ist vorgesehenbeteiligt person","1","1","2020-02"
"323","interkulturell kompetenz","1","1","2020-02"
"324","abfall","1","1","2020-02"
"325","94 grundstueck","1","1","2020-02"
"326","rew","1","1","2020-02"
"327","komisch oper","1","1","2020-02"
"328","verbraucherpreis","1","1","2020-02"
"329","strassenrein probl","1","1","2020-02"
"330","thaimassag","1","1","2020-02"
"331","sozialstrukturatlas","1","1","2020-02"
"332","ost","1","1","2020-02"
"333","rad","1","1","2020-02"
"334","milieuschutzgebiet berlin","1","1","2020-02"
"335","einwohnerinn und einwohn in den ortsteil berlin am 30 06 2015","1","1","2020-02"
"336","spatis","1","1","2020-02"
"337","potentialflach","1","1","2020-02"
"338","ruddig","1","1","2020-02"
"339","gbe spezial 2014 1 ssa2013","1","1","2020-02"
"340","mietenwog","1","1","2020-02"
"341","bebauungsplan neukoelln 8 36","1","1","2020-02"
"342","qgis","1","1","2020-02"
"343","visit","2","2","2020-02"
"344","2018","1","1","2020-02"
"345","transf","1","1","2020-02"
"346","qualitat","1","1","2020-02"
"347","lageplan","1","1","2020-02"
"348","3d","1","1","2020-02"
"349","christentum krieg und zukunft","1","1","2020-02"
"350","s bahn","2","2","2020-02"
"351","custom servic quality","1","1","2020-02"
"352","gans","1","1","2020-02"
"353","arbeitslosenquot","2","2","2020-02"
"354","luft","2","2","2020-02"
"355","mietpreis","1","1","2020-02"
"356","wanderungssaldo","1","1","2020-02"
"357","unbewohnt gebiet","1","1","2020-02"
"358","verkehrsschild","1","1","2020-02"
"359","einschulbereich","1","1","2020-02"
"360","statist block","1","1","2020-02"
"361","friedrichshain","1","1","2020-02"
"362","bodentyp","1","1","2020-02"
"363","stellenplan lichtenberg","1","1","2020-02"
"364","gps","1","1","2020-02"
"365","verwust","1","1","2020-02"
"366","kerngebiet","1","1","2020-02"
"367","standort fur stationsbasiert carsharing","1","1","2020-02"
"368","kindertag","1","1","2020-02"
"369","bevolkerungszuwach","1","1","2020-02"
"370","rechtsverordn","2","2","2020-02"
"371","net ge klinik","1","1","2020-02"
"372","wohnungslos","1","1","2020-02"
"373","interaktion 10587 berlin","1","1","2020-02"
"374","kontakt","1","1","2020-02"
"375","einwohnerinn und einwohn mit migrationshintergrund in berlin in lor planungsraum","1","1","2020-02"
"376","05 10 2019","1","1","2020-02"
"377","einwohnerinn und einwohn mit migrationshintergrund","1","1","2020-02"
"378","straftat","1","1","2020-02"
"379","bericht uber die gesundheit situation von frau in berlin bericht uber die gesundheit situation von frau in berlin","1","1","2020-02"
"380","2011","1","1","2020-02"
"381","10587 berlin","1","1","2020-02"
"382","bildungsniveau bevolker","1","1","2020-02"
"383","b plan 36 neukoelln","1","1","2020-02"
"384","sanier","1","1","2020-02"
"385","drog","1","1","2020-02"
"386","geometri","1","1","2020-02"
"387","fremdsprach","1","1","2020-02"
"388","supermarkt","1","1","2020-02"
"389","gost standard","1","1","2020-02"
"390","graffiti","1","1","2020-02"
"391","arbeitsamt","1","1","2020-02"
"392","arbeitslos nach sgbii","1","1","2020-02"
"393","asylantrag","1","1","2020-02"
"394","beelitz ruot","1","1","2020-02"
"395","1987","1","1","2020-02"
"396","einwohnerinn und einwohn mit migrationshintergrund in berlin in lor planungsraum","1","1","2020-02"
"397","beihilf pauschal","1","1","2020-02"
"398","digital oberflachenmodell","1","1","2020-02"
"399","berlin limit","1","1","2020-02"
"400","sozialstruktur","2","2","2020-02"
"401","topograph","1","1","2020-02"
"402","arzneimittel","1","1","2020-02"
"403","anleg","1","1","2020-02"
"404","mindestlohn","1","1","2020-02"
"405","loschwasserversorg","1","1","2020-02"
"406","76 absatz 5 lbg","1","1","2020-02"
"407","geo","1","1","2020-02"
"408","bodenricht","1","1","2020-02"
"409","dgm","1","1","2020-02"
"410","haltestellenzugang","1","1","2020-02"
"411","bevolkerungsentwickl","1","1","2020-02"
"412","music","1","1","2020-02"
"413","vornam 2002","1","1","2020-02"
"414","drug","1","1","2020-02"
"415","deutsch lern 10587","1","1","2020-02"
"416","flugverkehr","1","1","2020-02"
"417","car crash","1","1","2020-02"
"418","no2","1","1","2020-02"
"419","schul planung","1","1","2020-02"
"420","bezirk von berlin","1","1","2020-02"
"421","australia mildura cuckold wif","1","1","2020-02"
"422","klimanotstand","1","1","2020-02"
"423","fisch","1","1","2020-02"
"424","dusterhauptstrass","1","1","2020-02"
"425","niederschlag","1","1","2020-02"
"426","treptow","1","1","2020-02"
"427","umweltbelast","1","1","2020-02"
"428","sehenswurd","1","1","2020-02"
"429","unternehm","1","1","2020-02"
"430","gis","1","1","2020-02"
"431","beihilf gkv pkv","1","1","2020-02"
"432","mur de berlin","1","1","2020-02"
"433","baugrupp","2","2","2020-02"
"434","uberpruf der wohnlagenzuordn","1","1","2020-02"
"435","94","1","1","2020-02"
"436","klimaatl","1","1","2020-02"
"437","dolomitenstrass","1","1","2020-02"
"438","kleefisch","1","1","2020-02"
"439","strassennetz","1","1","2020-02"
"440","jugendfreizeit","1","1","2020-02"
"441","baustell","1","1","2020-02"
"442","footprint","1","1","2020-02"
"443","temperatur","1","1","2020-02"
"444","gedenktafel","1","1","2020-02"
"445","glutenfrei","1","1","2020-02"
"446","distrikt","1","1","2020-02"
"447","radweg","2","2","2020-02"
"448","sondernutz","1","1","2020-02"
"449","dokument zur umwelt und klima","1","1","2020-02"
"450","grundwasserspiegel","1","1","2020-02"
"451","eigentumswohn","1","1","2020-02"
"452","altkleidercontain","1","1","2020-02"
"453","gewalt","1","1","2020-02"
"454","b plan 36","1","1","2020-02"
"455","bsr","1","1","2020-02"
"456","gdp per capita","1","1","2020-02"
"457","jugend und bildungspolit","1","1","2020-02"
"458","zla","1","1","2020-02"
"459","block und blockteilflach","1","1","2020-02"
"460","topograph","1","1","2020-02"
"461","bebau","1","1","2020-02"
"462","liegenschaftskatast","1","1","2020-02"
"463","bim","1","1","2020-02"
"464","als naturdenkmal geschutzt findling","1","1","2020-02"
"465","parkplatz","2","2","2020-02"
"466","recycling","1","1","2020-02"
"467","lohnsteuervordruck","1","1","2020-02"
"468","reinigungsklass","1","1","2020-02"
"469","topograf","1","1","2020-02"
"470","zehlendorf","1","1","2020-02"
"471","gesundheit situation von frau in berlin","1","1","2020-02"
"472","bezirksamt mitt","1","1","2020-02"
"473","json","2","2","2020-02"
"474","landesbeamtengesetz","1","1","2020-02"
"475","tagespfleg friedrichshain kreuzberg","1","1","2020-02"
"476","accelarator","1","1","2020-02"
"477","bericht uber die gesundheit situation von frau die gesund jed frau und jed mann ist abhang von sozial okonom beruf und materiell beding lebenssituation","1","1","2020-02"
"478","weissense","1","1","2020-02"
"479","digital hohenmodell","1","1","2020-02"
"480","grunanlag","1","1","2020-02"
"481","klimanotlag","3","3","2020-02"
"482","grundstuckspreis","1","1","2020-02"
"483","abschluss","1","1","2020-02"
"484","behindertenpolit leitlini","1","1","2020-02"
"485","bauleitplan","1","1","2020-02"
"486","opnv wfs","1","1","2020-02"
"487","luftqualitat","2","2","2020-02"
"488","strassenrein","1","1","2020-02"
"489","dat","1","1","2020-02"
"490","unterbeschaft","1","1","2020-02"
"491","versorg vertrag","1","1","2020-02"
"492","e roll","1","1","2020-02"
"493","einwohn block","1","1","2020-02"
"494","entwicklungsbereich","1","1","2020-02"
"495","parkraum","1","1","2020-02"
"496","bericht zu belast luft larm","1","1","2020-02"
"497","senat 03 09 2019","1","1","2020-02"
"498","stromversorg","1","1","2020-02"
"499","tempo 30","1","1","2020-02"
"500","neubau","1","1","2020-02"
"501","flachenentwickl","1","1","2020-02"
"502","30 06 2019","1","1","2020-02"
"503","geometri lor","1","1","2020-02"
"504","tagespfleg","1","1","2020-02"
"505","parking","1","1","2020-02"
"506","schulabschluss","1","1","2020-02"
"507","residential","1","1","2020-02"
"508","sunhild","2","2","2020-02"
"509","mietenspiegel berlin","1","1","2020-02"
"510","verarbeitungsbetrieb eier","1","1","2020-02"
"511","einwohnerinn und einwohn in berlin in lor planungsraum","1","1","2020-02"
"512","flach","1","1","2020-02"
"513","16","1","1","2020-02"
"514","alkis wfs","1","1","2020-02"
"515","mindestlohn mindestlohn","1","1","2020-02"
"516","fahrradweg","1","1","2020-02"
"517","beihilf","1","1","2020-02"
"518","waidmannlust damm","1","1","2020-02"
"519","famili ohn wohnung","1","1","2020-02"
"520","luftreinhalteplan","1","1","2020-02"
"521","neugebor","1","1","2020-02"
"522","postleitzahl","2","2","2020-02"
"523","flachenmonitoring","1","1","2020-02"
"524","tourismus","1","1","2020-02"
"525","startups","2","2","2020-02"
"526","oranienplatz","1","1","2020-02"
"527","haushalt lichtenberg","1","1","2020-02"
"528","larm","2","2","2020-02"
"529","kruppstrass 2","1","1","2020-02"
"530","badewass","1","1","2020-02"
"531","transport","1","1","2020-02"
"532","bebauungssplan","1","1","2020-02"
"533","einwohnerinn und einwohn in berlin in lor planungsraum","1","1","2020-02"
"534","haus","1","1","2020-02"
"535","umwandl","1","1","2020-02"
"536","krankenhaus","2","2","2020-02"
"537","open data","1","1","2020-02"
"538","ba","2","2","2020-02"
"539","breitscheidplatz","1","1","2020-02"
"540","milieuschutzgebiet berlin","1","1","2020-02"
"541","pro kopf","1","1","2020-02"
"542","kultur","1","1","2020-02"
"543","e fahrrad","1","1","2020-02"
"544","stellenplan amt fur regionalisiert ordnungsaufgab","1","1","2020-02"
"545","transf bezirk","1","1","2020-02"
"546","wohneigentum","1","1","2020-02"
"547","land","1","1","2020-02"
"548","armutsrisiko","1","1","2020-02"
"549","lor raumglieder","1","1","2020-02"
"550","siko","1","1","2020-02"
"551","taxi","2","2","2020-02"
"552","asyl","1","1","2020-02"
"553","lichtzeich","1","1","2020-02"
"554","einwohnerzahl zeitraum","1","1","2020-02"
"555","feuerwehr","1","1","2020-02"
"556","shap","1","1","2020-02"
"557","lor bezirk","1","1","2020-02"
"558","rbs ortsteil","1","1","2020-02"
"559","umweltgerecht","1","1","2020-02"
"560","asyl asyl","1","1","2020-02"
"561","bildungsniveau","2","2","2020-02"
"562","numm","1","1","2020-02"
"563","gelandehoh","3","3","2020-02"
"564","stellplatz","1","1","2020-02"
"565","krankenhausers","1","1","2020-02"
"566","backerei","1","1","2020-02"
"567","abfallmeng","1","1","2020-02"
"568","verfugungsfond","1","1","2020-02"
"569","kriminal","1","1","2020-02"
"570","aerial","1","1","2020-02"
"571","arbeitslos","1","1","2020-02"
"572","grossstadtbaum","1","1","2020-02"
"573","media spree","1","1","2020-02"
"574","incom","1","1","2020-02"
"575","einricht","1","1","2020-02"
"576","wander","1","1","2020-02"
"577","sehenswurd berlin","1","1","2020-02"
"578","einwohn alt","1","1","2020-02"
"579","wilhelmstadt","1","1","2020-02"
"580","polygon","1","1","2020-02"
"581","milieuschutzgebiet kart","1","1","2020-02"
"582","kredit","1","1","2020-02"
"583","teilverkehrszell","1","1","2020-02"
"584","3 euro ticket","1","1","2020-02"
"585","tempo 30 nacht","1","1","2020-02"
"586","frankreich","1","1","2020-02"
"587","fis brok","1","1","2020-02"
"588","einwohn 31 12 2019","1","1","2020-02"
"589","wms","1","1","2020-02"
"590","club","1","1","2020-02"
"591","lor bezirksregion","1","1","2020-02"
"592","kriminalstatist","1","1","2020-02"
"593","umweltatlas","1","1","2020-02"
"594","flachennutz","1","1","2020-02"
"595","orthofoto","1","1","2020-02"
"596","immobilienmangement","1","1","2020-02"
"597","wasserabstand","1","1","2020-02"
"598","green","1","1","2020-02"
"599","satellitenbild","1","1","2020-02"
"600","milieuschutzgebiet steglitz","1","1","2020-02"
"601","e mobility","1","1","2020-02"
"602","stellenplan lichtenberg","1","1","2020-02"
"603","ortsteil kml","1","1","2020-02"
"604","eigentum","1","1","2020-02"
"605","wasserstoff","1","1","2020-02"
"606","befahr","1","1","2020-02"
"607","sgb ii","1","1","2020-02"
"608","berlin landkart 1890","1","1","2020-02"
"609","bundestagswahl","1","1","2020-02"
"610","tegelort","1","1","2020-02"
"611","lotr","1","1","2020-02"
"612","tempo 30 nacht tempo or 30 or nacht","1","1","2020-02"
"613","steglitz zehlendorf","1","1","2020-02"
"614","musik","2","2","2020-02"
"615","suizid","2","2","2020-02"
"616","bevolkerungssaldo","1","1","2020-02"
"617","ampel","1","1","2020-02"
"618","rdf","1","1","2020-02"
"619","grfs","1","1","2020-02"
"620","schichtenverzeichnis","1","1","2020-02"
"621","wahl 2017","1","1","2020-02"
"622","flachenmonitoring","1","1","2020-02"
"623","neubauprojekt","1","1","2020-02"
"624","kehricht","1","1","2020-02"
"625","lod2","1","1","2020-02"
"626","blockkart 2015","1","1","2020-02"
"627","kommunal unternehm","1","1","2020-02"
"628","tesch","1","1","2020-02"
"629","orthophoto","1","1","2020-02"
"630","eiproduktion","1","1","2020-02"
"631","benachteiligt quarti","1","1","2020-02"
"632","rauchwarnmeld","1","1","2020-02"
"633","baublock","1","1","2020-02"
"634","quarti","2","2","2020-02"
"635","general transport feed specification","1","1","2020-02"
"636","wassermarsch","1","1","2020-02"
"637","breitband wms","1","1","2020-02"
"638","dom","1","1","2020-02"
"639","datenschutzbeauftrag","1","1","2020-02"
"640","einwohn 2019","1","1","2020-02"
"641","warmebild","1","1","2020-02"
"642","ubahn","1","1","2020-02"
"643","international tourismus","1","1","2020-02"
"644","strassenverzeichnis mitt","1","1","2020-02"
"645","verwaltungsgrenz","2","2","2020-02"
"646","dgm 25","1","1","2020-02"
"647","regionalbahn","1","1","2020-02"
"648","bhan","1","1","2020-02"
"649","shapefil","1","1","2020-02"
"650","religionsunterricht","1","1","2020-02"
"651","glut","1","1","2020-02"
"652","einwohnerinn und einwohn in berlin in lor planungsraum am 31 12 2008","1","1","2020-02"
"653","armut","1","1","2020-02"
"654","radfahr","1","1","2020-02"
"655","gesundheit situation frau","1","1","2020-02"
"656","kredit credit","1","1","2020-02"
"657","beamt","1","1","2020-02"
"658","einwohn bezirk","1","1","2020-02"
"659","unterbring obdachlos","1","1","2020-02"
"660","parkanlag","1","1","2020-02"
"661","hafas","1","1","2020-02"
"662","kontaktstell","1","1","2020-02"
"663","magistral","2","2","2020-02"
"664","k5","1","1","2020-02"
"665","strassenbrunn strassenbrunn","1","1","2020-02"
"666","accident","1","1","2020-02"
"667","hohenschonhaus","1","1","2020-02"
"668","nationalitat","1","1","2020-02"
"669","denkmal","2","2","2020-02"
"670","vornam 2017","1","1","2020-02"
"671","list der haufig vornam 2019","1","1","2020-02"
"672","bericht uber die gesundheit situation von frau lebenssituation","1","1","2020-02"
"673","luftbild","1","1","2020-02"
"674","baugrund","1","1","2020-02"
