12;dop20rgb;13;2;Geographie und Stadtplanung
21;ozon;29;21;Umwelt und Klima
4;grunanlagenbestand;28;18;Geographie und Stadtplanung
157;bezirksamt friedrichshain kreuzberg von berlin vermess;11;3;Geographie und Stadtplanung
237;stadtbezirk;5;3;Geographie und Stadtplanung
35;gis;5;4;Geographie und Stadtplanung
38;geothermi;5;1;Ver- und Entsorgung
40;einwohnerdicht;11;5;Demographie
41;arbeitslosenquot;5;1;Arbeitsmarkt
47;weihnachtsmarkt;28;16;Sport und Erholung
53;zahlstell;5;5;Verkehr
65;biotop;5;2;Umwelt und Klima
78;liegenschaftskart;13;9;Geographie und Stadtplanung
82;strass 52a;5;2;Geographie und Stadtplanung
88;rbs bezirk;5;4;Geographie und Stadtplanung
94;umsetz or transparent or liegenschaftspolit;5;2;Sonstiges
25;biotop und artenschutz biotop und artenschutz;6;1;Umwelt und Klima
31;berlin;6;2;Geographie und Stadtplanung
48;fahrplan;6;5;Verkehr
50;grundwass;6;3;Umwelt und Klima
18;vermess at ba fk berlin de;101;41;Geographie und Stadtplanung
21;transport;7;3;Verkehr
33;dop;12;8;Sonstiges
14;parkplatz;8;3;Verkehr
15;open data;8;1;Öffentliche Verwaltung, Haushalt und Steuern
27;geltungsbereich;14;6;Sonstiges
93;tankstell;9;8;Verkehr
167;verdien gart landschaftsbau;8;5;Arbeitsmarkt
39;neukolln;17;9;Geographie und Stadtplanung
41;krankenhaus;18;7;Gesundheit
43;strat larmkart 2017;5;1;Umwelt und Klima
47;dop or atom;5;1;Geographie und Stadtplanung
49;friedrichshain;5;4;Geographie und Stadtplanung
58;migration;5;4;Demographie
72;hoh;5;4;Sonstiges
95;vbb gtfs;5;2;Verkehr
29;standardlastprofil;6;2;Ver- und Entsorgung
30;larmbelast;6;1;Umwelt und Klima
31;utm;6;2;Sonstiges
36;bezirkskart spandau;6;1;Geographie und Stadtplanung
37;atlas;6;2;Geographie und Stadtplanung
38;tourismus;13;10;Tourismus
22;ausland;17;3;Sonstiges
24;friedrichshain kreuzberg;20;7;Geographie und Stadtplanung
18;brandenburg;8;3;Geographie und Stadtplanung
20;luftbild or atom;8;1;Geographie und Stadtplanung
45;gemark;37;31;Sonstiges
25;altlast;10;3;Ver- und Entsorgung
16;temperatur;18;4;Umwelt und Klima
187;trinkbrunn im bezirk;7;5;Geographie und Stadtplanung
37;kml;5;2;Geographie und Stadtplanung
39;verkehr wms;5;1;Verkehr
40;sudwestkorso;5;1;Geographie und Stadtplanung
42;religion;5;2;Kunst und Kultur
44;wikipedia;5;1;Sonstiges
49;sozialstrukturatlas;5;2;Demographie
75;oberflachenmodell;5;4;Geographie und Stadtplanung
210;hydrant;5;3;Ver- und Entsorgung
31;strassennam;6;2;Geographie und Stadtplanung
36;bezirk mitt;6;2;Geographie und Stadtplanung
56;geburt;6;2;Demographie
59;baumbestand;11;6;Geographie und Stadtplanung
62;bibliothek;6;3;Kunst und Kultur
65;strassennetz;6;2;Verkehr
19;klima;7;4;Umwelt und Klima
22;strom;32;7;Ver- und Entsorgung
23;wohnatlas;7;1;Wohnen und Immobilien
15;einwohnerinn und einwohn in berlin in lor planungsraum wohndau ausland wohndau;9;2;Demographie
10;zugriff;12;1;Sonstiges
17;feuerwehr;17;7;Öffentliche Verwaltung, Haushalt und Steuern
210;wohnungsmiet;6;2;Wohnen und Immobilien
29;echtzeit;5;3;Sonstiges
31;arbeitslosenanteil;5;2;Arbeitsmarkt
33;beschaftigt;5;1;Arbeitsmarkt
37;pankow;5;2;Geographie und Stadtplanung
50;bezirksgrenz;27;16;Geographie und Stadtplanung
74;parkraumbewirtschaft;5;3;Geographie und Stadtplanung
82;personalmanagementbericht;5;2;Öffentliche Verwaltung, Haushalt und Steuern
24;strassenbefahr 2014;6;2;Geographie und Stadtplanung
38;naturschutz;6;2;Umwelt und Klima
41;diversity;6;3;Sonstiges
21;einwohn in den ortsteil;7;5;Demographie
35;sozial;7;3;Sonstiges
57;larm;7;3;Sonstiges
19;mietentwickl berlin;8;1;Wohnen und Immobilien
11;luft;10;6;Umwelt und Klima
30;berlin mau;12;8;Geographie und Stadtplanung
12;volkshochschul;16;5;Bildung
278;dynam index 2019;5;2;Demographie
41;berlin wasserbetrieb;5;1;Ver- und Entsorgung
42;wast;5;2;Sonstiges
45;ostbahnhof wunsdorf waldstadt;5;1;Sonstiges
46;sozialatlas;5;1;Demographie
48;marzahn hellersdorf;5;3;Geographie und Stadtplanung
50;verlauf der berlin mau;5;1;Geographie und Stadtplanung
51;planungsraum einwohn;5;1;Demographie
52;gewerb;5;2;Wirtschaft
84;spandau;5;4;Geographie und Stadtplanung
27;kindergart;6;3;Bildung
31;wifi;6;4;Ver- und Entsorgung
33;alt;14;6;Demographie
36;mitt;6;2;Sonstiges
49;fahrradstand;6;4;Verkehr
23;2009;7;1;Sonstiges
68;platz;7;3;Geographie und Stadtplanung
127;lod1;7;5;Geographie und Stadtplanung
17;versiegel;8;2;Umwelt und Klima
14;wohn;10;3;Wohnen und Immobilien
8;json;13;3;Sonstiges
9;einwohnerinn;13;1;Demographie
4;bod wms;17;3;Geographie und Stadtplanung
87;breitband;12;2;Wirtschaft
131;lichterfeld histor kart;9;3;Geographie und Stadtplanung
33;gml;5;1;Geographie und Stadtplanung
43;pfleg;5;2;Gesundheit
47;kriminalitat;6;5;Öffentliche Verwaltung, Haushalt und Steuern
21;umwelt;7;4;Umwelt und Klima
16;umweltzon;8;3;Verkehr
17;gutachterausschuss;8;1;Wohnen und Immobilien
20;standort;8;1;Geographie und Stadtplanung
24;parkraum;8;5;Verkehr
11;xml;9;1;Sonstiges
26;einwohnerzahl;9;3;Demographie
14;afs;11;4;Sonstiges
7;toilett;14;8;Gesundheit
1;amt fur statist;80;4;Sonstiges
